,Ticker
0,MTH
1,IR
2,UNP
3,FAST
4,NMRK
5,MCK
6,MGY
7,STE
8,VST
9,SATS
10,TBBK
11,BIPC
12,DFS
13,SMMT
14,WTW
15,IBM
16,ZETA
17,ABBV
18,ABM
19,JBL
20,OKE
21,TNDM
22,TNET
23,DIOD
24,ILMN
25,NUE
26,GLW
27,BLKB
28,CDP
29,URI
30,AMZN
31,HUBB
32,PTGX
33,IBP
34,MRO
35,ADMA
36,IDYA
37,URBN
38,DOCN
39,COOP
40,MOD
41,BMI
42,FTV
43,BKU
44,GWW
45,TSN
46,LIN
47,GSHD
48,CSX
49,YELP
50,IP
51,DAY
52,ALGN
53,IBRX
54,ED
55,HRI
56,HWM
57,DOC
58,PLXS
59,AGIO
60,GEHC
61,NVDA
62,QLYS
63,GRBK
64,UFPT
65,NTAP
66,SMPL
67,CNS
68,RUSHB
69,ROP
70,VMC
71,ASML
72,CARR
73,VRSN
74,DE
75,RL
76,SR
77,FIZZ
78,BANC
79,RVTY
80,LUMN
81,CNC
82,PKG
83,HAS
84,ITGR
85,PBH
86,PANW
87,HL
88,EBC
89,CRNX
90,WY
91,BEN
92,PFG
93,ABG
94,DHI
95,IVZ
96,SO
97,MAA
98,HGV
99,DYN
100,CORZ
101,MLM
102,CTRA
103,KLAC
104,LULU
105,ZBH
106,BPMC
107,IEX
108,CLSK
109,CSWI
110,UAL
111,GMS
112,BLK
113,DOW
114,ESGR
115,IBOC
116,ENS
117,TOWN
118,ACVA
119,MSI
120,INST
121,AVNT
122,CTSH
123,ATKR
124,AFL
125,ODFL
126,APTV
127,CHD
128,NMIH
129,PNC
130,MMC
131,PRKS
132,LRN
133,COO
134,JKHY
135,ZS
136,GS
137,ACAD
138,WAB
139,CVI
140,JBT
141,KRYS
142,CALX
143,AES
144,BECN
145,PODD
146,MSFT
147,FRT
148,ADP
149,AEIS
150,AMP
151,AUR
152,D
153,KEY
154,HST
155,MGEE
156,RJF
157,RUN
158,NWE
159,TROW
160,WEC
161,WFC
162,WTS
163,CALM
164,REG
165,PCVX
166,FG
167,COST
168,MDLZ
169,GHC
170,AWK
171,ADUS
172,EFX
173,XOM
174,SKT
175,TDW
176,CBZ
177,MA
178,VRSK
179,BNL
180,ETN
181,FFIN
182,LIVN
183,ADM
184,HQY
185,PWSC
186,UNH
187,F
188,MKTX
189,GERN
190,FTNT
191,PRK
192,SEM
193,CSTM
194,BAX
195,SKY
196,WDC
197,FRSH
198,AIN
199,CPB
200,DUK
201,GPN
202,JJSF
203,KOS
204,KRG
205,PNR
206,MTB
207,TMDX
208,TWST
209,IRT
210,SCHW
211,NSIT
212,HCA
213,ICE
214,PHM
215,LKQ
216,SLG
217,OTIS
218,WRB
219,VTRS
220,PARA
221,BK
222,KNTK
223,AAPL
224,SFNC
225,IRM
226,IOSP
227,JBHT
228,INSW
229,PRMW
230,SUM
